images,labels
train\peach\peach_115.png,3
train\peach\peach_116.png,3
train\peach\peach_117.png,3
train\peach\peach_118.png,3
train\peach\peach_119.png,3
train\peach\peach_120.png,3
train\pear\pear_001.png,4
train\pear\pear_002.png,4
train\pear\pear_003.png,4
train\pear\pear_004.png,4
train\pear\pear_005.png,4
train\pear\pear_006.png,4
train\pear\pear_007.png,4
train\pear\pear_008.png,4
train\pear\pear_009.png,4
train\pear\pear_010.png,4
train\pear\pear_011.png,4
train\pear\pear_012.png,4
train\pear\pear_013.png,4
train\pear\pear_014.png,4
train\pear\pear_015.png,4
train\pear\pear_016.png,4
train\pear\pear_017.png,4
train\pear\pear_018.png,4
train\pear\pear_019.png,4
train\pear\pear_020.png,4
train\pear\pear_021.png,4
train\pear\pear_022.png,4
train\pear\pear_023.png,4
train\pear\pear_024.png,4
train\pear\pear_025.png,4
train\pear\pear_026.png,4
train\pear\pear_027.png,4
train\pear\pear_028.png,4
train\pear\pear_029.png,4
train\pear\pear_030.png,4
train\pear\pear_031.png,4
train\pear\pear_032.png,4
train\pear\pear_033.png,4
train\pear\pear_034.png,4
train\pear\pear_035.png,4
train\pear\pear_036.png,4
train\pear\pear_037.png,4
train\pear\pear_038.png,4
train\pear\pear_039.png,4
train\pear\pear_040.png,4
train\pear\pear_041.png,4
train\pear\pear_042.png,4
train\pear\pear_043.png,4
train\pear\pear_044.png,4
train\pear\pear_045.png,4
train\pear\pear_046.png,4
train\pear\pear_047.png,4
train\pear\pear_048.png,4
train\pear\pear_049.png,4
train\pear\pear_050.png,4
train\pear\pear_051.png,4
train\pear\pear_052.png,4
train\pear\pear_053.png,4
train\pear\pear_054.png,4
train\pear\pear_055.png,4
train\pear\pear_056.png,4
train\pear\pear_057.png,4
train\pear\pear_058.png,4
train\pear\pear_059.png,4
train\pear\pear_060.png,4
train\pear\pear_061.png,4
train\pear\pear_062.png,4
train\pear\pear_063.png,4
train\pear\pear_064.png,4
train\pear\pear_065.png,4
train\pear\pear_066.png,4
train\pear\pear_067.png,4
train\pear\pear_068.png,4
train\pear\pear_069.png,4
train\pear\pear_070.png,4
train\pear\pear_071.png,4
train\pear\pear_072.png,4
train\pear\pear_073.png,4
train\pear\pear_074.png,4
train\pear\pear_075.png,4
train\pear\pear_076.png,4
train\pear\pear_077.png,4
train\pear\pear_078.png,4
train\pear\pear_079.png,4
train\pear\pear_080.png,4
train\pear\pear_081.png,4
train\pear\pear_082.png,4
train\pear\pear_083.png,4
train\pear\pear_084.png,4
train\pear\pear_085.png,4
train\pear\pear_086.png,4
train\pear\pear_087.png,4
train\pear\pear_088.png,4
train\pear\pear_089.png,4
train\pear\pear_090.png,4
train\pear\pear_091.png,4
train\pear\pear_092.png,4
train\pear\pear_093.png,4
train\pear\pear_094.png,4
train\pear\pear_095.png,4
train\pear\pear_096.png,4
train\pear\pear_097.png,4
train\pear\pear_098.png,4
train\pear\pear_099.png,4
train\pear\pear_100.png,4
train\pear\pear_101.png,4
train\pear\pear_102.png,4
train\pear\pear_103.png,4
train\pear\pear_104.png,4
train\pear\pear_105.png,4
train\pear\pear_106.png,4
train\pear\pear_107.png,4
train\pear\pear_108.png,4
train\pear\pear_109.png,4
train\pear\pear_110.png,4
train\pear\pear_111.png,4
train\pear\pear_112.png,4
train\pear\pear_113.png,4
train\pear\pear_114.png,4
train\pear\pear_115.png,4
train\pear\pear_116.png,4
train\pear\pear_117.png,4
train\pear\pear_118.png,4
train\pear\pear_119.png,4
train\pear\pear_120.png,4
